timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683250403485,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403484,4,vr,200,OK,Thread Group 1-3,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403489,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403489,4,vr,200,OK,Thread Group 1-4,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403492,3,vr,200,OK,Thread Group 1-3,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403493,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,2
1683250403495,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403496,3,vr,200,OK,Thread Group 1-4,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,0
1683250403499,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403499,3,vr,200,OK,Thread Group 1-3,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,0
1683250403502,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403502,3,vr,200,OK,Thread Group 1-4,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403506,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403510,4,vr,200,OK,Thread Group 1-4,text,true,,13617,123,1,1,http://localhost:3000/vr.html,4,0,1
1683250403514,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403518,2,vr,200,OK,Thread Group 1-4,text,true,,13617,123,1,1,http://localhost:3000/vr.html,2,0,0
1683250403520,1,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,1
1683250403522,2,vr,200,OK,Thread Group 1-4,text,true,,13617,123,1,1,http://localhost:3000/vr.html,2,0,0
1683250403529,3,vr,200,OK,Thread Group 1-5,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403524,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403545,4,vr,200,OK,Thread Group 1-4,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403545,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,4
1683250403549,3,vr,200,OK,Thread Group 1-5,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403549,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403552,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,2
1683250403552,3,vr,200,OK,Thread Group 1-4,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403555,2,vr,200,OK,Thread Group 1-5,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,0
1683250403555,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,2
1683250403558,3,vr,200,OK,Thread Group 1-4,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,0
1683250403558,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,2
1683250403561,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403561,4,vr,200,OK,Thread Group 1-5,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403565,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403568,3,vr,200,OK,Thread Group 1-5,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403571,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403574,3,vr,200,OK,Thread Group 1-5,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403577,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,2
1683250403580,3,vr,200,OK,Thread Group 1-5,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,0
1683250403581,2,vr,200,OK,Thread Group 1-6,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,0
1683250403583,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403584,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403587,3,vr,200,OK,Thread Group 1-5,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,0
1683250403587,3,vr,200,OK,Thread Group 1-6,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,0
1683250403591,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403591,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403598,4,vr,200,OK,Thread Group 1-5,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403598,4,vr,200,OK,Thread Group 1-6,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403602,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403602,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403605,4,vr,200,OK,Thread Group 1-6,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403605,4,vr,200,OK,Thread Group 1-5,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403609,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403609,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403612,3,vr,200,OK,Thread Group 1-6,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403615,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,2
1683250403618,2,vr,200,OK,Thread Group 1-6,text,true,,13617,123,1,1,http://localhost:3000/vr.html,2,0,0
1683250403620,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,2
1683250403622,3,vr,200,OK,Thread Group 1-6,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403625,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403628,4,vr,200,OK,Thread Group 1-6,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403631,3,vr,200,OK,Thread Group 1-7,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403633,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403635,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,4
1683250403636,3,vr,200,OK,Thread Group 1-6,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
